,date,open,close,high,low,value,profitability,secid
0,2021-12-14,914.4,897.4,950.0,842.8,1565151030.8,-1.8591426071741035,VKCO
1,2021-12-15,900.0,961.0,973.8,883.6,2107221289.8,6.777777777777779,VKCO
2,2021-12-16,966.0,982.8,1019.0,951.4,2416470817.4,1.7391304347826038,VKCO
3,2021-12-17,983.0,962.0,1002.2,940.0,1057159726.2,-2.136317395727365,VKCO
4,2021-12-20,957.2,912.0,957.8,891.0,1037947894.8,-4.722106142916846,VKCO
5,2021-12-21,915.0,924.6,948.0,915.0,710278531.8,1.049180327868855,VKCO
6,2021-12-22,924.6,912.2,929.6,895.0,836681988.4,-1.34112048453385,VKCO
7,2021-12-23,912.2,880.2,918.0,872.6,1416978117.6,-3.508002631001973,VKCO
8,2021-12-24,878.4,877.0,884.2,850.0,1474501677.0,-0.15938069216757483,VKCO
9,2021-12-27,878.0,884.8,899.0,877.0,1011151700.2,0.7744874715261908,VKCO
10,2021-12-28,885.0,876.6,894.2,870.0,892531143.2,-0.9491525423728787,VKCO
11,2021-12-29,876.0,865.4,883.0,860.0,585991799.0,-1.2100456621004592,VKCO
12,2021-12-30,865.4,872.4,874.0,859.4,338826956.6,0.8088745088976196,VKCO
13,2022-01-03,873.0,885.8,889.8,869.0,411726556.6,1.4662084765177497,VKCO
14,2022-01-04,888.8,874.0,888.8,865.2,509271682.8,-1.6651665166516603,VKCO
15,2022-01-05,874.0,816.2,878.8,813.2,1117989360.2,-6.613272311212809,VKCO
16,2022-01-06,811.6,793.0,836.2,774.0,1805262159.0,-2.2917693445046847,VKCO
17,2022-01-10,796.0,766.8,805.0,752.6,1030828768.8,-3.6683417085427195,VKCO
18,2022-01-11,770.0,770.8,780.2,756.0,1030890838.4,0.10389610389609799,VKCO
19,2022-01-12,770.0,770.4,791.6,763.0,1304625039.4,0.051948051948048996,VKCO
20,2022-01-13,768.4,754.6,783.0,739.4,1161175199.0,-1.7959396147839608,VKCO
21,2022-01-14,754.6,686.4,765.0,660.0,3023797942.2,-9.037900874635573,VKCO
22,2022-01-17,686.4,710.6,722.2,652.0,1701769677.6,3.5256410256410327,VKCO
23,2022-01-18,710.6,662.8,718.8,640.0,2676602653.2,-6.726709822685065,VKCO
24,2022-01-19,664.8,675.6,696.8,612.2,2871070800.4,1.624548736462104,VKCO
25,2022-01-20,670.4,683.0,741.0,670.4,1973146281.6,1.8794749403341322,VKCO
26,2022-01-21,684.0,645.8,688.4,640.2,1625530761.6,-5.584795321637434,VKCO
27,2022-01-24,651.0,596.2,662.4,556.8,3177904313.0,-8.417818740399378,VKCO
28,2022-01-25,595.0,594.2,613.4,562.2,1822918490.4,-0.1344537815125974,VKCO
29,2022-01-26,596.0,583.0,604.0,567.8,1748433494.4,-2.1812080536912752,VKCO
30,2022-01-27,576.0,591.2,609.4,571.0,2127172759.0,2.638888888888897,VKCO
31,2022-01-28,594.4,597.0,607.8,585.0,1367835891.6,0.4374158815612421,VKCO
32,2022-01-31,597.2,630.0,635.0,597.2,1782620553.0,5.492297387809772,VKCO
