,date,open,close,high,low,value,profitability,secid
0,2020-01-03,2712.8,2685.0,2718.0,2677.4,710629401.2,-1.024771453848429,YNDX
1,2020-01-06,2682.4,2672.0,2682.4,2650.6,604637551.8,-0.3877124962719986,YNDX
2,2020-01-08,2663.8,2677.0,2707.0,2636.2,675482269.2,0.4955326976499669,YNDX
3,2020-01-09,2682.6,2728.4,2737.2,2682.6,832957090.0,1.7072988891374108,YNDX
4,2020-01-10,2728.4,2725.0,2760.0,2700.2,841278630.4,-0.12461515906758873,YNDX
5,2020-01-13,2715.0,2703.4,2729.8,2692.0,898479200.8,-0.4272559852670317,YNDX
6,2020-01-14,2719.0,2685.0,2750.0,2683.8,1271806891.4,-1.250459727841118,YNDX
7,2020-01-15,2677.0,2690.0,2708.4,2660.0,1117757797.2,0.48561822936122523,YNDX
8,2020-01-16,2678.8,2719.8,2869.2,2673.2,4069493148.0,1.5305360609228011,YNDX
9,2020-01-17,2730.0,2772.8,2776.8,2726.2,1843011170.6,1.5677655677655742,YNDX
10,2020-01-20,2791.0,2800.0,2827.0,2777.0,952733215.0,0.32246506628448585,YNDX
11,2020-01-21,2800.0,2770.0,2800.0,2762.6,973285480.0,-1.0714285714285714,YNDX
12,2020-01-22,2800.0,2790.0,2800.0,2673.2,2088120431.2,-0.35714285714285715,YNDX
13,2020-01-23,2790.8,2820.2,2826.6,2740.0,1348641693.2,1.0534613730829738,YNDX
14,2020-01-24,2798.0,2798.0,2818.0,2775.8,1025627221.8,0.0,YNDX
15,2020-01-27,2780.2,2780.0,2802.0,2735.2,1335372999.0,-0.007193727069988422,YNDX
16,2020-01-28,2784.6,2799.8,2813.8,2765.6,999335986.8,0.545859369388791,YNDX
17,2020-01-29,2812.4,2890.0,2890.0,2812.4,1948963842.2,2.7592092163276885,YNDX
18,2020-01-30,2881.4,2888.0,2905.0,2852.4,993882258.6,0.22905532033039178,YNDX
19,2020-01-31,2910.0,2873.4,2913.0,2865.4,859739886.2,-1.2577319587628835,YNDX
